Collingswood High School, Collingswood
Creative Arts Morgan Village Academy, Camden
Eastern Regional High School, Voorhees
Gloucester City Junior-Senior High School, Gloucester City
Haddon Heights High School, Haddon Heights
Haddon Township High School, Westmont
Haddonfield Memorial High School, Haddonfield
Highland Regional High School, Blackwood
LEAP Academy University Charter School, Camden
Lindenwold High School, Lindenwold
MetEast High School, Camden
Overbrook High School, Pine Hill
Pennsauken High School, Pennsauken Township
Sterling High School, Somerdale
Timber Creek Regional High School, Erial
Triton Regional High School, Runnemede
Woodrow Wilson High School, Camden
Winslow Township High School, Atco
Lower Cape May Regional High School, Cape May
Middle Township High School, Cape May Court House
Ocean City High School, Ocean City
Wildwood High School, Wildwood
Bridgeton High School, Bridgeton
Cumberland County Technology Education Center, Bridgeton
Cumberland Regional High School, Seabrook
Memorial High School, Millville
Millville Senior High School, Millville
Vineland High School, Vineland
American History High School, Newark
Bard High School Early College Newark, Newark
Barringer High School, Newark
Belleville High School, Belleville
Bloomfield High School, Bloomfield
Bloomfield Tech High School, Bloomfield
James Caldwell High School, West Caldwell
Cedar Grove High School, Cedar Grove
Central High School, Newark
Columbia High School, Maplewood
East Orange Campus High School, East Orange
East Orange STEM Academy, East Orange
East Side High School, Newark
Essex County Vocational Schools, Bloomfield, Newark, North 13th Street and West Caldwell
Glen Ridge High School, Glen Ridge
Irvington High School, Irvington
Livingston High School, Livingston
Millburn Senior High School, Millburn
Montclair High School, Montclair
Newark Arts High School, Newark
Newark Collegiate Academy, Newark
Newark Tech High School, Newark
North Star Academy Charter School, Newark
North 13th Street Tech, Newark
Nutley High School, Nutley
Orange High School, Orange
Science Park High School, Newark
The Paulo Freire School, Newark
Malcolm X Shabazz High School, Newark
Technology High School, Newark
Cicely Tyson School of Performing and Fine Arts, East Orange
University High School (New Jersey), Newark
Verona High School, Verona
Weequahic High School, Newark
West Caldwell Tech, West Caldwell
West Essex High School, North Caldwell
West Orange High School, West Orange
West Side High School, Newark
Clayton High School, Clayton
Clearview Regional High School, Mullica Hill
Delsea Regional High School, Franklinville
Deptford Township High School, Deptford
Gateway Regional High School, Woodbury Heights
Glassboro High School, Glassboro
Gloucester County Institute of Technology, Sewell
Kingsway Regional High School, Woolwich Township
Paulsboro High School, Paulsboro
Pitman High School, Pitman
Washington Township High School, Sewell
West Deptford High School, West Deptford
Williamstown High School, Williamstown
Woodbury Junior-Senior High School, Woodbury
Bayonne High School, Bayonne
County Prep High School, Jersey City
Create Charter High School, Jersey City (closed as of June 2010)
William L. Dickinson High School, Jersey City
James J. Ferris High School, Jersey City
Harrison High School, Harrison
Hoboken Junior Senior High School, Hoboken
Hudson County Schools of Technology, Jersey City, North Bergen, Secaucus campuses
High Tech High School, North Bergen
Kearny High School, Kearny
Liberty High School, Jersey City
Lincoln High School, Jersey City
Dr. Ronald E. McNair Academic High School, Jersey City
Memorial High School, West New York
M.E.T.S. Charter School, Jersey City
North Bergen High School, North Bergen
Secaucus High School, Secaucus
University Academy Charter High School, Jersey City
Henry Snyder High School, Jersey City
Union City High School, Union City
Weehawken High School, Weehawken
Delaware Valley Regional High School, Frenchtown
Hunterdon Central Regional High School, Flemington
Hunterdon County Polytech Career Academy, Raritan Township
North Hunterdon High School, Annandale
South Hunterdon Regional High School, Lambertville
Voorhees High School, Glen Gardner
Capital Preparatory Charter High School, Trenton (closed as of June 2011)[1]
Daylight/Twilight Alternative High School, Trenton
Ewing High School, Ewing Township
Hamilton East-Steinert High School, Hamilton Township
Hamilton North-Nottingham High School, Hamilton Township
Hamilton West-Hamilton High School, Hamilton Township
Hightstown High School, Hightstown
Hopewell Valley Central High School, Hopewell Township
Lawrence High School, Lawrenceville
Princeton High School, Princeton
Robbinsville High School, Robbinsville
Trenton Central High School, Trenton
Trenton Central High School West, Trenton
West Windsor-Plainsboro High School South, Princeton Junction
Academy for Urban Leadership Charter High School, Perth Amboy
Carteret High School, Carteret
Colonia High School, Colonia
Dunellen High School, Dunellen
East Brunswick High School, East Brunswick
Edison High School, Edison
Highland Park High School, Highland Park
John F. Kennedy Memorial High School, Iselin
J.P. Stevens High School, Edison
Metuchen High School, Metuchen
East Brunswick Technical High School, East Brunswick
Middlesex County Academy for Science, Mathematics and Engineering Technologies, Edison
Perth Amboy Technical High School, Perth Amboy
Piscataway Technical High School, Piscataway
Middlesex County Academy for Allied Health and Biomedical Sciences, Woodbridge Township
Middlesex High School, Middlesex
Monroe Township High School, Monroe
New Brunswick High School, New Brunswick
New Brunswick Health Sciences Technology High School, New Brunswick
North Brunswick Township High School, North Brunswick
Old Bridge High School, Old Bridge
Perth Amboy High School, Perth Amboy
Piscataway Township High School, Piscataway
Sayreville War Memorial High School, Parlin
South Amboy Middle High School, South Amboy
South Brunswick High School, Monmouth Junction
South Plainfield High School, South Plainfield
South River High School, South River
Spotswood High School, Spotswood
West Windsor-Plainsboro High School North, Plainsboro
Woodbridge High School, Woodbridge
Academy Charter High School, Lake Como
Academy of Allied Health & Science, Neptune
Allentown High School, Allentown
Asbury Park High School, Asbury Park
Biotechnology High School, Freehold
Class Academy, Long Branch
Colts Neck High School, Colts Neck
Communications High School, Wall
Freehold High School, Freehold Borough
Freehold Township High School, Freehold Township
High Technology High School, Lincroft
Holmdel High School, Holmdel
Howell High School, Farmingdale
Henry Hudson Regional High School, Highlands
Keansburg High School, Keansburg
Keyport High School, Keyport
Long Branch High School, Long Branch
Manalapan High School, Englishtown
Manasquan High School, Manasquan
Marine Academy of Science and Technology, Sandy Hook
Marlboro High School, Marlboro
Matawan Regional High School, Aberdeen
Middletown High School North, Middletown
Middletown High School South, Middletown
Monmouth County Vocational Technology High School, Colts Neck
Monmouth Regional High School, Tinton Falls
Neptune High School, Neptune
Ocean Township High School, Oakhurst
Raritan High School, Hazlet
Red Bank Regional High School, Little Silver
Rumson-Fair Haven Regional High School, Rumson
Shore Regional High School, West Long Branch
Wall High School, Wall Township
Academy for Law and Public Safety, Butler
The Academy for Mathematics, Science, and Engineering, Rockaway
Boonton High School, Boonton
Butler High School, Butler
Chatham High School, Chatham
Dover High School, Dover
Hanover Park High School, East Hanover
Jefferson Township High School, Oak Ridge
Kinnelon High School, Kinnelon
Madison High School, Madison
Montville Township High School, Montville
Morris County School of Technology, Denville
Morris Hills High School, Rockaway
Morris Knolls High School, Denville
Morristown High School, Morristown
Mount Olive High School, Flanders
Mountain Lakes High School, Mountain Lakes
Parsippany High School, Parsippany
Parsippany Hills High School, Morris Plains
Pequannock Township High School, Pompton Plains
Randolph High School, Randolph
Roxbury High School, Succasunna
West Morris Central High School, Long Valley
West Morris Mendham High School, Mendham
Whippany Park High School, Whippany
Barnegat High School, Barnegat
Brick Township High School, Brick
Brick Township Memorial High School, Brick
OCVTS Performing Arts Academy, Lakehurst
Central Regional High School, Bayville
Jackson Liberty High School, Jackson
Jackson Memorial High School, Jackson
Lacey Township High School, Lanoka Harbor
Lakewood High School, Lakewood
Manchester Township High School, Manchester
Marine Academy of Technology and Environmental Science, Manahawkin
New Egypt High School, New Egypt
Pinelands Regional High School, Tuckerton
Point Pleasant Beach High School, Point Pleasant Beach
Point Pleasant Boro High School, Point Pleasant
Southern Regional High School, Manahawkin
Toms River High School East, Toms River
Toms River High School North, Toms River
Toms River High School South, Toms River
Academy High School (New Jersey), Clifton
Clifton High School, Clifton
Eastside High School, Paterson
HARP Academy, Paterson
Hawthorne High School, Hawthorne
International High School, Paterson
John F. Kennedy High School, Paterson
Lakeland Regional High School, Wanaque
Manchester Regional High School, Haledon
MPACT Academy, Paterson
Panther Academy, Paterson
Rosa L. Parks School of Fine and Performing Arts, Paterson
Passaic County Technical Institute, Wayne
Passaic High School, Passaic
Passaic Valley Regional High School, Little Falls
Paterson Charter School for Science and Technology, Paterson
Pompton Lakes High School, Pompton Lakes
Public Safety Academy, Paterson
Sports and Business Academy, Paterson
Wayne Hills High School, Wayne
Wayne Valley High School, Wayne
West Milford High School, West Milford
Arts, Science, and Technology High School, Woodstown
Penns Grove High School, Carneys Point
Pennsville Memorial High School, Pennsville
Salem County Career and Technical High School, Pilesgrove
Salem High School, Salem
Arthur P. Schalick High School, Pittsgrove
Woodstown High School, Woodstown
Bernards High School, Bernardsville
Bound Brook High School, Bound Brook
Bridgewater-Raritan High School, Bridgewater
Central Jersey College Prep Charter School, Somerset
Franklin High School, Somerset
Hillsborough High School, Hillsborough
Manville High School, Manville
Montgomery High School, Skillman
North Plainfield High School, North Plainfield
Ridge High School, Basking Ridge
Somerset County Vocational and Technical High School, Bridgewater
Somerville High School, Somerville
Watchung Hills Regional High School, Warren
High Point Regional High School, Sussex
Hopatcong High School, Hopatcong
Kittatinny Regional High School, Newton
Lenape Valley Regional High School, Stanhope
Newton High School, Newton
Sparta High School, Sparta
Sussex County Technical School, Sparta
Vernon Township High School, Vernon
Wallkill Valley Regional High School, Hamburg
David Brearley High School, Kenilworth
Abraham Clark High School, Roselle
Cranford High School, Cranford
Jonathan Dayton High School, Springfield
John Dwyer Technology Academy, Elizabeth
Thomas A. Edison Academy for Career and Technical Education, Elizabeth
Elizabeth High School, Elizabeth
Admiral William Halsey Leadership Academy, Elizabeth
Alexander Hamilton Preparatory Academy, Elizabeth
Thomas Jefferson Arts Academy, Elizabeth
Governor Livingston High School, Berkeley Heights
Hillside High School, Hillside
Arthur L. Johnson High School, Clark
Linden High School, Linden
New Providence High School, New Providence
Barack Obama Green Charter High School, Plainfield
Plainfield Academy for the Arts and Advanced Studies, Plainfield
Plainfield High School, Plainfield
Rahway High School, Rahway
Roselle Park High School, Roselle Park
Scotch Plains-Fanwood High School, Scotch Plains
Summit High School, Summit
Union County Academy for Allied Health Sciences, Scotch Plains
Union County Academy for Information Technology, Scotch Plains
Union County Academy for Performing Arts, Scotch Plains
Union County Magnet High School, Scotch Plains
Union County Vocational-Technical High School, Scotch Plains
Union Senior High School, Union
Westfield High School, Westfield
Belvidere High School, Belvidere
Hackettstown High School, Hackettstown
North Warren Regional High School, Blairstown
Phillipsburg High School, Phillipsburg
Warren Hills Regional High School, Washington
Atlantic Christian School, Egg Harbor Township
Champion Baptist Academy, Absecon
Coastal Learning Center Atlantic, Northfield
Highland Academy, Absecon
Holy Spirit High School, Absecon
Life Mission Training Center, Hammonton
St. Augustine Preparatory School, Richland
St. Joseph Regional High School, Hammonton
The Pilgrim Academy, Egg Harbor City
Trocki Jewish Community Day School, Egg Harbor Township
Academy of the Holy Angels, Demarest
Barnstable Academy, Oakland
Bergen Catholic High School, Oradell
Community High School, Teaneck
Don Bosco Preparatory High School, Ramsey
Dwight-Englewood School, Englewood
Frisch School, Paramus
Hackensack Christian School, Hackensack
Heichal HaTorah, Teaneck
Holmstead School, Ridgewood
High Point School of Bergen County, Lodi
Immaculate Conception High School, Lodi
Immaculate Heart Academy, Washington Township
Ma'ayanot Yeshiva High School, Teaneck
Metro Schechter Academy, Teaneck
Newbury Academy, Dumont
Paramus Catholic High School, Paramus
Queen of Peace High School, North Arlington
Sage Day School, Rochelle Park
Saint Joseph Regional High School, Montvale
St. Mary High School, Rutherford
Saddle River Day School, Saddle River
Schechter Regional High School, Teaneck
Torah Academy of Bergen County, Teaneck
Yeshiva Ohr Hatalmud, Englewood
Calvary Christian School, Willingboro
Doane Academy, Burlington
Hampton Academy, Mount Holly
Heritage Christian Academy, Mount Laurel
Holy Cross Academy, Delran
Life Center Academy, Burlington
Moorestown Friends School, Moorestown
Timothy Christian Academy, Eastampton
Bancroft School at Voorhees Pediatric Facility, Voorhees
Baptist Regional School, Haddon Heights
Bishop Eustace Preparatory School, Merchantville
Brookfield Academy, Cherry Hill
Camden Catholic High School, Cherry Hill
Delaware Valley Torah Institute, Cherry Hill
Gloucester Catholic High School, Gloucester City
J.D.T. Christian Academy, Pennsauken
The King's Christian School, Cherry Hill
Kingsway Learning Center Haddonfield Campus, Haddonfield
Paul VI High School, Haddonfield
Stratford Classical Christian Academy, Stratford
Urban Promise Academy, Camden
Families United Network Academy, Tuckahoe
Cape Christian Academy, Cape May Court House
Wildwood Catholic High School, Wildwood
Ahlus Sunnah School, East Orange
Chad Science Academy, Newark
Christ the King Preparatory School, Newark
Essex Valley School, West Caldwell
Golda Och Academy, West Orange
The Gramon School, Fairfield
Immaculate Conception High School, Montclair
Independence High School, Irvington
Jersey Preparatory School, Newark
Rae Kushner Yeshiva High School, Livingston
Lacordaire Academy, Upper Montclair
Marylawn of the Oranges High School, South Orange
The Milton School, Millburn
Montclair Kimberley Academy, Montclair
Mount Saint Dominic Academy, West Caldwell
Newark Academy, Livingston
Saint Benedict's Preparatory School, Newark
St. James Preparatory School, Newark
St. Leo's Center, Irvington
St. Vincent Academy, Newark
Seton Hall Preparatory School, West Orange
Gloucester County Christian School, Sewell
Jesus of the Sea University, Bethlehem
Our Lady of Mercy Academy, Newfield
Victory Christian School, Williamstown
Hudson Catholic Regional High School, Jersey City
The Hudson School, Hoboken
Kenmare High School, Jersey City
Marist High School, Bayonne
Messiah Christian High School, Bayonne
Miftaahul Uloom Academy, Union City
St. Anthony High School, Jersey City
St. Dominic Academy, Jersey City
St. Peter's Preparatory School, Jersey City
Yeshiva Gedolah School of Bayonne, Bayonne
Al-Bayaan Academy, Trenton
Hun School of Princeton, Princeton
Lawrenceville School, Lawrenceville / Lawrence Township
The Lewis School of Princeton, Princeton
Notre Dame High School, Lawrenceville / Lawrence Township
Peddie School, Hightstown
The Pennington School, Pennington
Princeton Day School, Princeton
Princeton International School of Mathematics and Science, Princeton
Stuart Country Day School, Princeton
Trenton Catholic Academy, Trenton
Villa Victoria Academy, Ewing
Wilberforce School, Princeton Junction
Al-Minhaal Academy, South Plainfield
Bishop George Ahr High School, Edison
Moshe Aaron Yeshiva High School, South River
Rabbi Jacob Joseph Yeshiva School, Edison
Noor-Ul-Iman School, Monmouth Junction
St. Joseph High School, Metuchen
St. Peter the Apostle High School, New Brunswick
Timothy Christian School, Piscataway
Wardlaw-Hartridge School, Edison
Yeshiva Tiferes Naftoli, Jamesburg
HEROES Academy for the Gifted, New Brunswick
Baytul-Iman Academy, Matawan
Christian Brothers Academy, Lincroft
Collier High School, Wickatunk
High Point Schools, Morganville
Hillel Yeshiva, Ocean
Ilan High School, Long Branch
Jersey Shore Free School Marlboro/Colts Neck, NJ
Mater Dei High School, Middletown
Monmouth Academy, Howell
New Jersey United Christian Academy, Cream Ridge
Ranney School, Tinton Falls
Red Bank Catholic High School, Red Bank
St. George Orthodox Christian High School, Howell
St. John Vianney High School, Holmdel
St. Rose High School, Belmar
Talmudical Academy of Central New Jersey, Howell
Academy of Saint Elizabeth, Morris Township
The Craig School, Lincoln Park
Delbarton School, Morris Township
Morris Catholic High School, Denville
Morristown-Beard School, Morristown
Parsippany Christian School, Morris Plains
Sage Day School, Boonton
Shepard School, Morristown
Trinity Christian School, Montville
Villa Walsh Academy, Morris Township
Bais Kaila Torah Preparatory High School for Girls, Lakewood
Bais Shaindel High School, Lakewood
Bais Yaakov High School, Lakewood
Birchas Chaim, Lakewood
Bnos Bais Yaakov High School, Lakewood
Donovan Catholic High School, Toms River
Mesivta High School of Bradley, Lakewood
Mesivta Keser Torah School, Lakewood
Mesivta of Lakewood School, Lakewood
Mesivta Pe'er Hatorah School, Lakewood
New Jersey Center for Judaic Study, Lakewood
Ohr Chodosh School, Lakewood
Yeshiva Bais Aharon School, Lakewood
Al-Ghazaly High School, Wayne
Al-Huda School, Paterson
Bais Yaakov of Passaic High School, Passaic
Benway School, Wayne
Collegiate School, Passaic
DePaul Catholic High School, Wayne
Eastern Christian High School, North Haledon
Garrett Morgan Academy, Paterson
Harp Academy, Paterson
Hawthorne Christian Academy, Hawthorne
Mary Help of Christians Academy, North Haledon
Mesivta Zichron Baruch, Clifton
PANTHER Academy, Paterson
Paterson Catholic High School, Paterson
Pioneer Academy of Science, Wayne
East Mountain School, Belle Mead
Gill St. Bernard's School, Gladstone
Green Brook Academy, Bound Brook
Immaculata High School, Somerville
Mount St. Mary Academy, Watchung
Pingry School, Martinsville
Purnell School, Pottersville
Rutgers Preparatory School, Somerset
Sage Day High School, Franklin
Somerset Christian Academy, Zarephath
Pope John XXIII High School, Sparta
Veritas Christian Academy, Sparta
Benedictine Academy, Elizabeth
Bruriah High School for Girls, Elizabeth
Cornerstone Day School
Hillcrest Academy, Scotch Plains
Jewish Educational Center / RTMA, Elizabeth
Kent Place School, Summit
Mother Seton Regional High School, Clark
Oak Knoll School of the Holy Child, Summit
Oratory Preparatory School, Summit
Rav Teitz Mesivta Academy, Elizabeth
Roselle Catholic High School, Roselle
St. Mary of the Assumption High School, Elizabeth
St. Patrick High School, Elizabeth
Union Catholic Regional High School, Scotch Plains
Blair Academy, Blairstown
